oil	output	price	time
8.8564415	-2.8061936	-36.474808	1988m7
23.819468	-1.0495323	-40.260406	1988m8
7.2006221	.14341779	-44.089115	1988m9
33.654644	4.1204805	-50.300766	1988m10
9.0170517	8.2012024	-53.667892	1988m11
4.8244305	7.8077636	-43.156208	1988m12
-57.784645	10.732402	-30.74942	1989m1
-9.8360291	6.914988	-27.586977	1989m2
8.2603025	10.754091	-21.328512	1989m3
8.7731619	10.720149	-12.311553	1989m4
-1.6070155	11.512004	-15.592991	1989m5
.75292671	4.7508111	-20.096504	1989m6
10.491548	2.8586271	-21.96274	1989m7
17.854315	6.7366481	-26.279139	1989m8
1.6479207	6.7918844	-24.281555	1989m9
11.256173	8.3143387	-21.029188	1989m10
14.845881	12.152016	-21.263231	1989m11
-6.9507837	10.884845	-12.55686	1989m12
-10.942252	12.045029	-11.234152	1990m1
5.061295	9.7307482	-15.249667	1990m2
17.593023	9.5003901	-20.056845	1990m3
-5.3562541	4.8876619	-33.116402	1990m4
-11.069698	-1.1988665	-36.877087	1990m5
-16.356466	-5.7500849	-43.390213	1990m6
2.07269	-12.471856	-35.072926	1990m7
-72.50798	-12.294257	2.3924158	1990m8
52.515633	-14.240912	22.5469	1990m9
6.8410864	-11.721	31.437471	1990m10
16.291965	-9.464571	22.677452	1990m11
4.1772022	-4.1621356	5.6559677	1990m12
-3.5749731	-2.6372905	-8.3601131	1991m1
-6.164124	.5886448	-28.202887	1991m2
5.0640869	.98600602	-32.216805	1991m3
-28.023397	-1.5247889	-28.315962	1991m4
-3.5936036	-1.0572129	-28.467272	1991m5
3.90939	-.60032004	-31.971838	1991m6
19.955982	-4.6097779	-30.114267	1991m7
-13.962024	-7.1340885	-27.313654	1991m8
20.76972	-5.2870822	-26.067966	1991m9
-.88458502	-4.6701283	-21.786978	1991m10
4.8657246	-2.073421	-24.824867	1991m11
8.0358315	-5.7673101	-37.067596	1991m12
1.3348299	-10.216153	-43.574368	1992m1
-16.511711	-14.998768	-44.414108	1992m2
-12.964772	-18.049532	-42.549149	1992m3
7.2050395	-20.243147	-36.774063	1992m4
-22.725925	-17.06711	-29.131018	1992m5
4.9217815	-20.494497	-24.029823	1992m6
9.3790884	-23.6576	-24.769817	1992m7
-.26620981	-24.209373	-27.496712	1992m8
5.2456799	-21.814152	-27.657618	1992m9
15.860117	-20.471188	-27.667439	1992m10
-5.7212753	-16.234587	-32.931808	1992m11
6.3474417	-10.305029	-41.339752	1992m12
-3.6506293	-10.696206	-42.52039	1993m1
7.0129175	-10.944981	-39.163666	1993m2
-14.153565	-8.762476	-36.975662	1993m3
-14.087793	-8.3426733	-34.393162	1993m4
3.7493293	-6.9405012	-37.209705	1993m5
-5.7215347	-9.6211529	-43.565331	1993m6
12.172075	-13.51666	-49.777458	1993m7
-3.5550544	-16.305239	-51.065948	1993m8
.22674949	-12.900191	-53.271233	1993m9
9.2547626	-14.770019	-51.937119	1993m10
1.2684528	-16.642445	-62.612194	1993m11
7.6712914	-18.613468	-74.027985	1993m12
3.8236871	-21.281366	-71.124687	1994m1
-3.5337679	-24.09437	-71.630013	1994m2
-1.7991261	-21.990202	-69.754982	1994m3
-9.1477594	-19.470123	-60.002647	1994m4
8.7955875	-14.025083	-52.276066	1994m5
6.2147822	-16.990868	-44.611057	1994m6
-7.8782582	-16.569836	-42.170597	1994m7
-2.1331935	-12.353901	-47.607342	1994m8
